epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,647.835,1.65057,2.34961,1.79513,0.32948,0.37654,0.31362,0.15,1.78496,2.07783,1.73945,0.007855,0.007855,0.007855
67,648.191,1.69702,2.43044,1.84137,0.35405,0.3772,0.3329,0.14799,1.9355,2.09498,1.82289,0.007822,0.007822,0.007822
68,657.95,1.64561,2.39497,1.80582,0.27311,0.40593,0.30711,0.15398,1.73474,2.05582,1.72415,0.007789,0.007789,0.007789
69,667.855,1.63105,2.377,1.80664,0.30793,0.38739,0.30849,0.15183,1.80313,2.04902,1.75498,0.007756,0.007756,0.007756
70,677.557,1.65034,2.34695,1.79326,0.35244,0.35651,0.31673,0.1516,1.83067,1.99858,1.77068,0.007723,0.007723,0.007723
71,687.207,1.66942,2.34997,1.81214,0.3349,0.40396,0.32701,0.15643,1.86151,2.00647,1.80024,0.00769,0.00769,0.00769
72,697.335,1.65708,2.34976,1.81035,0.32653,0.39797,0.31742,0.15701,1.74988,2.0417,1.72859,0.007657,0.007657,0.007657
73,707.113,1.64413,2.3399,1.81894,0.37465,0.40891,0.35008,0.16508,1.79795,1.96953,1.75453,0.007624,0.007624,0.007624
74,716.911,1.63876,2.32555,1.79395,0.38809,0.38726,0.32299,0.16333,1.69823,2.00942,1.68895,0.007591,0.007591,0.007591
75,726.785,1.65029,2.33703,1.81153,0.35339,0.3897,0.32673,0.15427,1.83611,1.96676,1.76933,0.007558,0.007558,0.007558
76,736.43,1.64449,2.31951,1.80417,0.35644,0.37502,0.3211,0.14952,1.87903,2.01884,1.80611,0.007525,0.007525,0.007525
77,745.989,1.637,2.27175,1.79916,0.37856,0.35464,0.33938,0.16851,1.75451,1.95133,1.7327,0.007492,0.007492,0.007492
78,755.589,1.61484,2.3305,1.77988,0.32761,0.3762,0.31328,0.1567,1.68512,2.03642,1.6711,0.007459,0.007459,0.007459
79,765.069,1.62311,2.29667,1.78471,0.34073,0.42249,0.34348,0.16026,1.79748,1.94368,1.73806,0.007426,0.007426,0.007426
80,774.702,1.62845,2.28539,1.79591,0.36668,0.41904,0.33897,0.15533,1.8377,2.00213,1.77048,0.007393,0.007393,0.007393
81,784.427,1.61999,2.27721,1.78,0.24013,0.36438,0.28098,0.12974,1.79016,2.1113,1.745,0.00736,0.00736,0.00736
82,794.009,1.61918,2.31789,1.78016,0.37256,0.41629,0.34887,0.16875,1.74814,1.88822,1.70384,0.007327,0.007327,0.007327
83,803.857,1.65808,2.29412,1.80113,0.36937,0.41017,0.3601,0.17661,1.6985,1.91361,1.69489,0.007294,0.007294,0.007294
84,813.438,1.62146,2.30143,1.7972,0.38539,0.3788,0.3483,0.17114,1.79393,1.95793,1.75904,0.007261,0.007261,0.007261
85,823.236,1.59669,2.23193,1.76202,0.34578,0.41365,0.32362,0.15471,1.84959,1.97799,1.75521,0.007228,0.007228,0.007228
86,832.769,1.62165,2.25642,1.78847,0.35069,0.46251,0.37179,0.18049,1.7509,1.86204,1.70717,0.007195,0.007195,0.007195
87,842.78,1.60337,2.24371,1.77493,0.36251,0.41092,0.35368,0.18179,1.68798,1.87394,1.65948,0.007162,0.007162,0.007162
88,852.653,1.62537,2.28108,1.77881,0.36195,0.3799,0.35107,0.1621,1.82344,1.95019,1.77798,0.007129,0.007129,0.007129
89,862.164,1.60958,2.26233,1.7708,0.39731,0.44949,0.38061,0.18658,1.74894,1.90272,1.69251,0.007096,0.007096,0.007096
90,871.751,1.59151,2.23342,1.74594,0.33339,0.37099,0.30583,0.15449,1.75693,1.97183,1.7087,0.007063,0.007063,0.007063
91,881.251,1.60554,2.25092,1.77186,0.34251,0.42865,0.35034,0.17333,1.72647,1.89136,1.68013,0.00703,0.00703,0.00703
92,890.749,1.58556,2.23075,1.7619,0.37314,0.42588,0.36363,0.18701,1.67439,1.88885,1.65288,0.006997,0.006997,0.006997
93,900.615,1.60017,2.26086,1.77027,0.39877,0.41414,0.36806,0.18065,1.79581,1.8786,1.70314,0.006964,0.006964,0.006964
94,910.273,1.59909,2.24421,1.77154,0.37372,0.46694,0.37402,0.16049,1.94864,1.88742,1.85172,0.006931,0.006931,0.006931
95,919.782,1.58675,2.24398,1.77678,0.37862,0.45988,0.3744,0.17884,1.7994,1.92712,1.71884,0.006898,0.006898,0.006898
96,929.362,1.59275,2.23032,1.75834,0.3601,0.45783,0.37172,0.17456,1.84775,1.918,1.74275,0.006865,0.006865,0.006865
97,939.058,1.58041,2.17696,1.74398,0.36633,0.45819,0.37073,0.18932,1.70909,1.83995,1.6622,0.006832,0.006832,0.006832
98,948.782,1.60285,2.23546,1.766,0.40595,0.44198,0.39367,0.19106,1.75167,1.85974,1.68361,0.006799,0.006799,0.006799
99,958.341,1.5815,2.24588,1.7753,0.43932,0.44608,0.40068,0.19983,1.64065,1.8439,1.65621,0.006766,0.006766,0.006766
